company_id,flight_number,scheduled_departure_date_local,scheduled_departure_station_code,scheduled_arrival_station_code,scheduled_departure_datetime_local,scheduled_arrival_datetime_local,actual_departure_datetime_local,actual_arrival_datetime_local,total_seats,fleet_type,carrier,scheduled_ground_time_minutes,actual_ground_time_minutes,minimum_turn_minutes,total_pax,lap_child_count,is_child_count,is_stroller_user_count,basic_economy_pax,ssr_count,Hot Transfer,Checked,Transfer,departure_delay,ground_time_deficit,load_factor,ssr_per_pax,child_ratio,basic_economy_ratio,total_bags,bags_per_pax,iso_country_code,is_international
OO,4792,2025-08-04,ORD,ROA,2025-08-04 17:57:00+00:00,2025-08-04T21:04:00Z,2025-08-04 18:04:00+00:00,2025-08-04T20:52:00Z,76,ERJ-175,Express,42,34,34,65,0,1,0,7,14.0,16.0,6.0,20.0,7.0,8,0.8552631578947368,0.2153846153846154,0.015384615384615385,0.1076923076923077,26.0,0.4,US,0
UA,920,2025-08-03,ORD,LHR,2025-08-03 18:05:00+00:00,2025-08-04T08:20:00Z,2025-08-03 18:27:00+00:00,2025-08-04T08:06:00Z,167,B767-300,Mainline,235,229,145,171,1,5,0,0,6.0,16.0,90.0,37.0,22.0,90,1.0239520958083832,0.03508771929824561,0.03508771929824561,0.0,127.0,0.7426900584795322,GB,1
UA,1776,2025-08-10,ORD,PHL,2025-08-10 18:20:00+00:00,2025-08-10T21:35:00Z,2025-08-10 20:11:00+00:00,2025-08-10T23:26:00Z,166,B737-800,Mainline,76,69,51,180,0,5,2,18,1.0,1.0,46.0,38.0,111.0,25,1.0843373493975903,0.005555555555555556,0.027777777777777776,0.1,84.0,0.4666666666666667,US,0
OO,5790,2025-08-06,ORD,CRW,2025-08-06 18:20:00+00:00,2025-08-06T21:04:00Z,2025-08-06 20:05:00+00:00,2025-08-06T22:42:00Z,50,CRJ-200,Express,223,38,29,55,0,2,0,2,8.0,0.0,14.0,40.0,105.0,194,1.1,0.14545454545454545,0.03636363636363636,0.03636363636363636,54.0,0.9818181818181818,US,0
UA,1398,2025-08-05,ORD,ATL,2025-08-05 18:20:00+00:00,2025-08-05T21:29:00Z,2025-08-05 18:16:00+00:00,2025-08-05T21:49:00Z,166,B737-800,Mainline,75,72,51,136,0,3,0,11,10.0,0.0,19.0,51.0,-4.0,24,0.8192771084337349,0.07352941176470588,0.022058823529411766,0.08088235294117647,70.0,0.5147058823529411,US,0
OO,5470,2025-08-07,ORD,GEG,2025-08-07 08:40:00+00:00,2025-08-07T10:56:00Z,2025-08-07 08:36:00+00:00,2025-08-07T10:43:00Z,76,ERJ-175,Express,49,44,34,73,1,1,0,9,0.0,3.0,14.0,23.0,-4.0,15,0.9605263157894737,0.0,0.0273972602739726,0.1232876712328767,37.0,0.5068493150684932,US,0
UA,374,2025-08-15,ORD,MSP,2025-08-15 16:10:00+00:00,2025-08-15T17:49:00Z,2025-08-15 16:38:00+00:00,2025-08-15T18:24:00Z,126,A319-100,Mainline,54,41,43,128,1,1,0,12,11.0,2.0,21.0,60.0,28.0,11,1.0158730158730158,0.0859375,0.015625,0.09375,81.0,0.6328125,US,0
UA,1577,2025-08-15,ORD,SFO,2025-08-15 14:40:00+00:00,2025-08-15T17:26:00Z,2025-08-15 14:39:00+00:00,2025-08-15T17:11:00Z,234,B757-300,Mainline,123,134,66,261,1,10,3,22,5.0,0.0,83.0,66.0,-1.0,57,1.1153846153846154,0.019157088122605363,0.0421455938697318,0.0842911877394636,149.0,0.5708812260536399,US,0
UA,881,2025-08-03,ORD,HND,2025-08-03 12:50:00+00:00,2025-08-04T15:55:00Z,2025-08-03 13:15:00+00:00,2025-08-04T16:01:00Z,318,B787-10,Mainline,365,407,155,370,0,16,1,0,45.0,15.0,102.0,231.0,25.0,210,1.1635220125786163,0.12162162162162163,0.043243243243243246,0.0,333.0,0.9,JP,1
UA,2006,2025-08-09,ORD,GUA,2025-08-09 09:14:00+00:00,2025-08-09T12:45:00Z,2025-08-09 09:24:00+00:00,2025-08-09T12:57:00Z,166,B737-MAX8,Mainline,90,126,65,188,2,9,2,45,55.0,0.0,131.0,59.0,10.0,25,1.1325301204819278,0.2925531914893617,0.05851063829787234,0.2393617021276596,190.0,1.0106382978723405,GT,1
